from;to
Central;Ornsro
Ornsro;Central
Rosta;Ornsro
Ornsro;Rosta
Rynninge;Nasby
Nasby;Rynninge
Hagaby;Boglundsangen
Boglundsangen;Hagaby
Holmen;Boglundsangen
Boglundsangen;Holmen
Baronbackarna;Hjorsta
Hjorsta;Baronbackarna
Central;Hjorsta
Hjorsta;Central
Alvtomta;Bjorkhaga
Bjorkhaga;Alvtomta
Baronbackarna;Vivalla
Vivalla;Baronbackarna
Norr;Grenadjarstaden
Grenadjarstaden;Norr
Tybble;Sorby
Sorby;Tybble
Solhaga;Alvtomta
Alvtomta;Solhaga
Vasthaga;Alvtomta
Alvtomta;Vasthaga
Sorby;Sorbyangen
Sorbyangen;Sorby
Alvtomta;Rosta
Rosta;Alvtomta
Central;Rosta
Rosta;Central
Sorby;Ladugardsangen
Ladugardsangen;Sorby
Central;Ladugardsangen
Ladugardsangen;Central
Sorbyangen;Ladugardsangen
Ladugardsangen;Sorbyangen
Hagaby;Central
Central;Hagaby
Norr;Central
Central;Norr
Sorby;Central
Central;Sorby
Vasthaga;Solhaga
Solhaga;Vasthaga
Grenadjarstaden;Rynninge
Rynninge;Grenadjarstaden
Nasby;Tybble
Tybble;Nasby
Norra Bro;Brickebacken
Brickebacken;Norra Bro
Tybble;Brickebacken
Brickebacken;Tybble
Sorbyangen;Brickebacken
Brickebacken;Sorbyangen
Boglundsangen;Hovsta
Hovsta;Boglundsangen
Central;Marieberg
Marieberg;Central
Ornsro;Marieberg
Marieberg;Ornsro
Hovsta;Hagaby
Hagaby;Hovsta
Grenadjarstaden;Hagaby
Hagaby;Grenadjarstaden
Hagaby;Holmen
Holmen;Hagaby
Baronbackarna;Holmen
Holmen;Baronbackarna
Central;Holmen
Holmen;Central
Markbacken;Varberga
Varberga;Markbacken
Central;Markbacken
Markbacken;Central
Rosta;Vasthaga
Vasthaga;Rosta
