from;to
Central;Örnsro
Örnsro;Central
Rosta;Örnsro
Örnsro;Rosta
Rynninge;Näsby
Näsby;Rynninge
Hagaby;Boglundsängen
Boglundsängen;Hagaby
Holmen;Boglundsängen
Boglundsängen;Holmen
Baronbackarna;Hjorsta
Hjorsta;Baronbackarna
Central;Hjorsta
Hjorsta;Central
Älvtomta;Björkhaga
Björkhaga;Älvtomta
Baronbackarna;Vivalla
Vivalla;Baronbackarna
Norr;Grenadjärstaden
Grenadjärstaden;Norr
Tybble;Sörby
Sörby;Tybble
Solhaga;Älvtomta
Älvtomta;Solhaga
Västhaga;Älvtomta
Älvtomta;Västhaga
Sörby;Sörbyängen
Sörbyängen;Sörby
Älvtomta;Rosta
Rosta;Älvtomta
Central;Rosta
Rosta;Central
Sörby;Ladugårdsängen
Ladugårdsängen;Sörby
Central;Ladugårdsängen
Ladugårdsängen;Central
Sörbyängen;Ladugårdsängen
Ladugårdsängen;Sörbyängen
Hagaby;Central
Central;Hagaby
Norr;Central
Central;Norr
Sörby;Central
Central;Sörby
Västhaga;Solhaga
Solhaga;Västhaga
Grenadjärstaden;Rynninge
Rynninge;Grenadjärstaden
Näsby;Tybble
Tybble;Näsby
Norra Bro;Brickebacken
Brickebacken;Norra Bro
Tybble;Brickebacken
Brickebacken;Tybble
Sörbyängen;Brickebacken
Brickebacken;Sörbyängen
Boglundsängen;Hovsta
Hovsta;Boglundsängen
Central;Marieberg
Marieberg;Central
Örnsro;Marieberg
Marieberg;Örnsro
Hovsta;Hagaby
Hagaby;Hovsta
Grenadjärstaden;Hagaby
Hagaby;Grenadjärstaden
Hagaby;Holmen
Holmen;Hagaby
Baronbackarna;Holmen
Holmen;Baronbackarna
Central;Holmen
Holmen;Central
Markbacken;Varberga
Varberga;Markbacken
Central;Markbacken
Markbacken;Central
Rosta;Västhaga
Västhaga;Rosta
